Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Packet Length Mean,Packet Length Std,Packet Length Variance,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Bwd IAT Total,Active Mean,Idle Mean,SYN Flag Count,ACK Flag Count,PSH Flag Count,RST Flag Count,URG Flag Count,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Init_Win_bytes_forward,Init_Win_bytes_backward,Subflow Fwd Bytes,Subflow Bwd Bytes,Label
8080,749978.6834050133,31,18,2425.5124083346695,789.5890513271405,830,777.907032568966,1339,346.6435429457837,169.40021523801036,379.20832355116795,216213.9575865719,61203.00810941043,51.851739183284614,24206.441899547386,33653.242838049366,570432.8162842842,121249.4194155848,7793.858702982226,283010.49367466866,1,0,2,1,0,744.9339594558118,529.0055979078461,698.0104395010071,53144,44891,15760.757551109316,15532.891330446108,BENIGN
443,109860.80171405275,53,25,5177.408874438239,1565.6258906776109,99,48.63457349118612,142,89.63597204740752,62.500813450154375,49.919472663300546,1505.5708760328769,357695.01426444435,2996.0726891320237,7338.440899123823,4766.317934679167,48310.635590398786,7353.929776040623,3953.614688610991,1520.0377159087086,38,17,22,7,1,72.56783120253219,129.73020870259867,38.2642709122644,20768,442,52946.824333214725,1537.6958663041466,Bot
23,19444.667859713118,107,141,51412.7750720881,5768.377521867149,496,5.064628791807513,136,107.59370036820341,150.30540600365788,7.925615949272524,4697.536145330446,206684.314281033,1060.514180605358,933.9765237979859,1982.0353186729358,29079.87759225116,94740.06863066886,660.0768694985586,25233.248778712234,5,17,1,3,0,189.2279281864156,145.13738685146382,98.6825686800072,22402,1029,96293.12211837992,5407.4494365236105,PortScan
445,674.7734916780184,33,175,7707.369068391589,3956.096484935397,492,100.51363684202983,100,111.90638122730203,247.87744365325258,74.12703563686915,125.65768571544234,1029502.6751795784,7661.696865019692,13092.65539119855,2149.2590839473173,263346.0382163586,37178.16736395797,3461.408204269946,16506.98765954058,9,87,25,5,4,108.19853574777018,153.45022716174947,54.5281603397934,14097,562,48809.14658456168,1173.8783005143587,DDoS
3306,990555.5486086147,44,5,9640.213616955125,3247.781919286192,819,625.9924057322861,1058,419.51887626809264,102.8473765320053,277.22345112687776,61371.05608913208,101376.42444600615,0.772277280260554,1435.8382252145086,14678.558189931677,768879.5280450125,682522.9340696906,46421.13389879725,269118.4965293378,0,2,2,0,0,618.4548272847373,677.7235783935254,397.4644984680291,26388,29417,1556.0951266957916,225.1963070683491,BENIGN
8080,1119539.7965708831,27,32,794.0154099267427,5767.324498836892,549,632.6797801433738,1263,116.55772732943129,310.7459156748235,271.5907391428873,73229.0143678719,52316.621654474446,37.05385165141304,24414.348717181612,13881.16346085875,1103610.473708057,210071.80390688797,64224.54870259484,184057.50976073125,0,3,0,1,0,336.0614222178227,498.29358570244017,802.9695073406936,12392,32277,2768.672924111674,13904.773666176068,BENIGN
443,107930.50216117599,36,19,2210.4660314039784,3119.956317501709,389,142.28168220542614,747,102.53252024057748,299.59180627174186,419.40617379256037,68265.48776768781,94420.5329707733,83.59016118821071,67600.01728816166,84120.57347808448,119192.32719491153,254081.27468207723,149738.37191049423,1337175.5989559677,2,4,1,1,0,490.6754884010835,262.4103654031537,388.90771806557024,56731,57132,10227.619984410543,4428.8028519585505,BENIGN
3389,13161.613033483818,229,182,23584.48859591213,3937.2449644933067,287,144.07318706685214,119,15.488294941082387,5.443193155453191,96.92886151487573,3613.503186806254,87759.05687738999,3189.650548508989,4240.104764077174,4707.335573971225,17818.976781919555,25688.537978022057,2195.174319772736,16188.352467535819,45,64,23,19,2,54.22459640735939,81.48821954404148,143.75004972753632,11932,1481,72651.60695299097,457.5814156002603,DoS Hulk
23,14500.536702877898,118,93,138447.4520714792,667.1170456780754,427,73.53735163844351,117,96.76659181405316,53.83498154283292,4.0580924194508095,1449.2174771863197,627482.5720014239,11355.679564251588,3543.8444936958567,3181.0090091725815,56143.32338399067,31811.171982410047,1420.443980882197,205.97861898297722,16,31,10,6,3,198.415847837946,35.857918823836684,113.609677452392,14952,10322,95781.64715821588,1520.606074813178,DDoS
23,31423.5153342671,176,73,31810.427860598546,765.7164144122733,592,140.58891103303392,238,76.62865139204827,186.16960088805905,20.515952973004005,8208.006039225298,86970.47397628387,13314.741909324905,9488.50088411941,2717.706991904643,296.34473019974484,51450.62839297839,576.0866204251122,723.0205922259945,23,11,27,3,2,93.78164781908916,174.72102852089228,115.84269802363336,7521,9363,18178.341252284736,1413.214026556304,PortScan
8080,1118567.93338376,10,34,5414.7026467662,24690.792807480226,671,699.9983215914882,329,535.2077481780644,595.6072645205298,382.82033403704344,163843.5186183106,7634.864617014907,53.944060500273174,13890.07109554013,38161.96780929438,16675.628430804783,731293.2698882642,3212.128348565444,215991.3492233775,1,1,3,0,0,391.74302669577435,561.007395871483,444.73007319196137,35093,34940,3519.145298730431,3180.9880933269933,BENIGN
22,8102.284789088029,185,73,68820.36972535886,504.9218100318259,32,2.101945546697448,201,39.26042989457081,31.528404023828976,98.46408143055267,3101.618847129476,418923.90905479767,4838.73983935313,1967.863168392875,4481.763189160623,21138.74070741177,13921.04488635276,1671.899518686211,3837.1295455562763,32,69,19,13,1,44.685984498001474,132.71653953017903,104.48123988165509,26665,14894,9491.21247816024,31.38767017330122,Bot
443,87427.43334915656,318,195,11819.888262785742,567.8799483920792,119,147.0456152366257,248,95.68791852824886,73.32604590369243,28.070177573796684,2951.912332983432,361003.95733484346,285.49581771453796,771.5582851703009,2087.3197674377598,28236.60734875437,13435.977957746989,1829.3964004212226,27589.477948998363,5,51,8,15,0,70.32642728983369,193.478489867351,50.374689122822666,1031,8655,72629.73999458362,675.7321817627441,DoS Hulk
8080,519796.9298079449,39,32,1288.18041015236,18879.99987737699,804,563.340831625961,667,106.15430324276127,559.1032607507343,455.3524948160275,191899.57490837402,77425.73051504802,9.438793227993347,27819.368186147934,112679.82837253493,239716.15992710023,304208.5670575086,14014.010181727348,50415.05819588739,0,4,1,0,0,350.51255534149095,311.2034121526512,436.4864503454567,27847,50528,133.01520111715246,10872.909104575934,BENIGN
